Winding,Cooling System,OPS,Oil,Profit
45,5,5,1,-15082
45,5,5,4,-15012
45,5,5,7,-14993
45,5,5,10,-14988
45,5,10,1,-15008
45,5,10,4,-14996
45,5,10,7,-14997
45,5,10,10,-14993
45,5,15,1,-15044
45,5,15,4,-14945
45,5,15,7,-15031
45,5,15,10,-14943
45,5,20,1,-16698
45,5,20,4,-14563
45,5,20,7,-14630
45,5,20,10,-14933
45,5,25,1,-14995
45,5,25,4,-13196
45,5,25,7,-14981
45,5,25,10,-14970
45,5,30,1,-15013
45,5,30,4,-14949
45,5,30,7,-14925
45,5,30,10,-14624
45,5,35,1,-15006
45,5,35,4,-14921
45,5,35,7,-12572
45,5,35,10,-14933
45,10,5,1,-15007
45,10,5,4,-15006
45,10,5,7,-14997
45,10,5,10,-15022
45,10,10,1,-15045
45,10,10,4,-15006
45,10,10,7,-15005
45,10,10,10,-14995
45,10,15,1,-15000
45,10,15,4,-14980
45,10,15,7,-14996
45,10,15,10,-14987
45,10,20,1,-14729
45,10,20,4,-14921
45,10,20,7,-14927
45,10,20,10,-14920
45,10,25,1,-15030
45,10,25,4,-14966
45,10,25,7,-14974
45,10,25,10,-14691
45,10,30,1,-14944
45,10,30,4,-14924
45,10,30,7,-14934
45,10,30,10,-14922
45,10,35,1,-14929
45,10,35,4,-14657
45,10,35,7,-14923
45,10,35,10,-14662
45,15,5,1,-15019
45,15,5,4,-14971
45,15,5,7,-15030
45,15,5,10,-15022
45,15,10,1,-15020
45,15,10,4,-14973
45,15,10,7,-14973
45,15,10,10,-14977
45,15,15,1,-15003
45,15,15,4,-14978
45,15,15,7,-14965
45,15,15,10,-16371
45,15,20,1,-14641
45,15,20,4,-14907
45,15,20,7,-14914
45,15,20,10,-16325
45,15,25,1,-15000
45,15,25,4,-14955
45,15,25,7,-16054
45,15,25,10,-16695
45,15,30,1,-14947
45,15,30,4,-16321
45,15,30,7,-16334
45,15,30,10,-14915
45,15,35,1,-14974
45,15,35,4,-14904
45,15,35,7,-16378
45,15,35,10,-16308
45,20,5,1,-15023
45,20,5,4,-14964
45,20,5,7,-14976
45,20,5,10,-14970
45,20,10,1,-15040
45,20,10,4,-14976
45,20,10,7,-14966
45,20,10,10,-14973
45,20,15,1,-14969
45,20,15,4,-14980
45,20,15,7,-16331
45,20,15,10,-14955
45,20,20,1,-14630
45,20,20,4,-14934
45,20,20,7,-16318
45,20,20,10,-16014
45,20,25,1,-15046
45,20,25,4,-13584
45,20,25,7,-14324
45,20,25,10,-16706
45,20,30,1,-14970
45,20,30,4,-14924
45,20,30,7,-14918
45,20,30,10,-14212
45,20,35,1,-14987
45,20,35,4,-14900
45,20,35,7,-16321
45,20,35,10,-14911
45,25,5,1,-15027
45,25,5,4,-15030
45,25,5,7,-14992
45,25,5,10,-14985
45,25,10,1,-15004
45,25,10,4,-15025
45,25,10,7,-15034
45,25,10,10,-14996
45,25,15,1,-15003
45,25,15,4,-14942
45,25,15,7,-14948
45,25,15,10,-14960
45,25,20,1,-16701
45,25,20,4,-14932
45,25,20,7,-14951
45,25,20,10,-16701
45,25,25,1,-15009
45,25,25,4,-13287
45,25,25,7,-15772
45,25,25,10,-14986
45,25,30,1,-14997
45,25,30,4,-8646
45,25,30,7,-16698
45,25,30,10,-14980
45,25,35,1,-14942
45,25,35,4,-16323
45,25,35,7,-14945
45,25,35,10,-14900
50,5,5,1,-15732
50,5,5,4,-13415
50,5,5,7,-16738
50,5,5,10,-16702
50,5,10,1,-16694
50,5,10,4,-16703
50,5,10,7,-16739
50,5,10,10,-16702
50,5,15,1,-16694
50,5,15,4,-16709
50,5,15,7,-16702
50,5,15,10,-16734
50,5,20,1,-16702
50,5,20,4,-16371
50,5,20,7,-16667
50,5,20,10,-16706
50,5,25,1,-16697
50,5,25,4,-16362
50,5,25,7,-16675
50,5,25,10,-16371
50,5,30,1,-16031
50,5,30,4,-16385
50,5,30,7,-16362
50,5,30,10,-16702
50,5,35,1,-16690
50,5,35,4,-16681
50,5,35,7,-16685
50,5,35,10,-16678
50,10,5,1,-16728
50,10,5,4,-16692
50,10,5,7,-16731
50,10,5,10,-16701
50,10,10,1,-16690
50,10,10,4,-16701
50,10,10,7,-16705
50,10,10,10,-16705
50,10,15,1,-16705
50,10,15,4,-16695
50,10,15,7,-16741
50,10,15,10,-16738
50,10,20,1,-16734
50,10,20,4,-16674
50,10,20,7,-16703
50,10,20,10,-16674
50,10,25,1,-16701
50,10,25,4,-16071
50,10,25,7,-16379
50,10,25,10,-16674
50,10,30,1,-14315
50,10,30,4,-16678
50,10,30,7,-16674
50,10,30,10,-16672
50,10,35,1,-16690
50,10,35,4,-16681
50,10,35,7,-16698
50,10,35,10,-16681
50,15,5,1,-16735
50,15,5,4,-16695
50,15,5,7,-16698
50,15,5,10,-16695
50,15,10,1,-16698
50,15,10,4,-16702
50,15,10,7,-16708
50,15,10,10,-16739
50,15,15,1,-16734
50,15,15,4,-16694
50,15,15,7,-16734
50,15,15,10,-16701
50,15,20,1,-16694
50,15,20,4,-16685
50,15,20,7,-16674
50,15,20,10,-16738
50,15,25,1,-15628
50,15,25,4,-16678
50,15,25,7,-16681
50,15,25,10,-16688
50,15,30,1,-16694
50,15,30,4,-16671
50,15,30,7,-16681
50,15,30,10,-16701
50,15,35,1,-16668
50,15,35,4,-16667
50,15,35,7,-16681
50,15,35,10,-15598
50,20,5,1,-16695
50,20,5,4,-16700
50,20,5,7,-16706
50,20,5,10,-16711
50,20,10,1,-16698
50,20,10,4,-16738
50,20,10,7,-16698
50,20,10,10,-16698
50,20,15,1,-16697
50,20,15,4,-16706
50,20,15,7,-16734
50,20,15,10,-16738
50,20,20,1,-16688
50,20,20,4,-16671
50,20,20,7,-16674
50,20,20,10,-16374
50,20,25,1,-16694
50,20,25,4,-16667
50,20,25,7,-16678
50,20,25,10,-16678
50,20,30,1,-16674
50,20,30,4,-16681
50,20,30,7,-16011
50,20,30,10,-16667
50,20,35,1,-16730
50,20,35,4,-16695
50,20,35,7,-16681
50,20,35,10,-16372
50,25,5,1,-16697
50,25,5,4,-16705
50,25,5,7,-16695
50,25,5,10,-16685
50,25,10,1,-9249
50,25,10,4,-16685
50,25,10,7,-16695
50,25,10,10,-16701
50,25,15,1,-16701
50,25,15,4,-16736
50,25,15,7,-16731
50,25,15,10,-16695
50,25,20,1,-16691
50,25,20,4,-16674
50,25,20,7,-16675
50,25,20,10,-16675
50,25,25,1,-16674
50,25,25,4,-16681
50,25,25,7,-16668
50,25,25,10,-16667
50,25,30,1,-16668
50,25,30,4,-16385
50,25,30,7,-16672
50,25,30,10,-16694
50,25,35,1,-16675
50,25,35,4,-16703
50,25,35,7,-16677
50,25,35,10,-16674
