SAP ID,ID do Transformador,SAP ID.1,ID da subestação,Nome da Subestação 31/12/2018 [Local de Origem],Ano fabrico,"Data de entrada em exploração 
[mm-aaaa]","Data da última alteração 
[aaaa]",Nº TP na Instalação,Nº Série,Situação,Data Movimentação,Motivo,Observações,Data Atualização,ID do Local Instalação,Nome Local Instalação,Nº TP na Instalação.1,Def. Projecto (só TP novos),Observações.1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Motivo Rotação
280192307,26258875,280192307,0308S5001900,PEVIDÉM,1962.0,12-2002,,3.0,B 604651,Em exploração,,,,,,,,,,,,,
280210080,27897598,280210080,1115S5528500,CASAL SÃO BRÁS,2002.0,01-2004,,1.0,LEL 91552,Em exploração,,,,,,,,,,,,,
280812035,28530178,280812035,0813S5062400,TUNES,2012.0,07-2012,,1.0,1 LIT 754605.01,Em exploração,,,,,,,,,,,,,
280192314,28609759,280192314,0312S5003800,REQUIÃO,1975.0,11-2002,,2.0,LEL 08941,Em exploração,,,,,,,,,,,,,
280192315,29065275,280192315,1308S5000500,AMIEIRA,1967.0,11-1967,,2.0,3332,Em exploração,,,,,,,,,,,,,
280192316,29893525,280192316,0205S5050100,BEJA,1984.0,12-1986,2015.0,1.0,LEL 23880,Em exploração,,,,,,,,,,,,,
280192317,31418093,280192317,0211S5053400,VILA NOVA MILFONTES,1993.0,12-1995,,1.0,C 12581,Em exploração,,,,,,,,,,,,,
280192318,31418112,280192318,0211S5053400,VILA NOVA MILFONTES,1994.0,12-1995,,2.0,LEL 47929,Em exploração,,,,,,,,,,,,,
280648264,32921786,280648264,0313S5020100,TURIZ,2009.0,12-2009,,2.0,C 0387 A,Em exploração,,,,,,,,,,,,,
280579480,34768455,280579480,0712S5042500,VENDAS NOVAS,1980.0,12-1982,,3.0,19305,Em exploração,,,,,,,,,,,,,
280192324,34772913,280192324,0712S5042500,VENDAS NOVAS,1972.0,12-1973,,2.0,13030 C,Em exploração,,,,,,,,,,,,,
280579488,34818473,280579488,1415S5840100,MEXEEIRO,1974.0,12-2003,,1.0,7405147,Em exploração,,,,,,,,,,,,,
280579503,35168819,280579503,1113S5900500,TORRES VEDRAS SUL,2003.0,11-2003,,1.0,LEL 93063,Em exploração,,,,,,,,,,,,,
280210081,35196461,280210081,1507S5900600,MONTIJO,2003.0,11-2003,,2.0,C 0010 A,Em exploração,,,,,,,,,,,,,
280192326,36642174,280192326,1512S5030700,INE-SÃO SEBASTIÃO,1967.0,03-2004,,2.0,LEL 2816,INE - Para abate,,,,,,,,,,,,,
280192268,37516549,280192268,0111S5006200,PAMPILHOSA,1981.0,12-1988,,2.0,19348 C,Em exploração,,,,,,,,,,,,,
280187559,37717854,280187559,1308S5000500,AMIEIRA,1965.0,12-1965,,3.0,44449,Em exploração,,,,,,,,,,,,,
280210075,38957474,280210075,1401S5636700,OLHO BOI,1978.0,12-1980,,1.0,16636 S,Em exploração,,,,,,,,,,,,,
280187509,44094064,280187509,0308S5001900,PEVIDÉM,1965.0,12-1965,,1.0,B 609677,Em exploração,,,,,,,,,,,,,
280187508,44094072,280187508,0308S5001900,PEVIDÉM,1965.0,12-1965,,2.0,B 609676,Em exploração,,,,,,,,,,,,,
280209981,46612734,280209981,1409S5568300,CORUCHE,1979.0,12-1982,,2.0,19273 C,Em exploração,,,,,,,,,,,,,
280210305,49987421,280210305,1308S5007600,CUSTÓIAS,2003.0,09-2003,,3.0,C 0025 A,Em exploração,,,,,,,,,,,,,
280210306,49987428,280210306,1308S5007600,CUSTÓIAS,2003.0,09-2003,,1.0,C 0025 B,Em exploração,,,,,,,,,,,,,
280209982,49987453,280209982,1311S5006900,ENTRE-OS-RIOS,2003.0,10-2003,,1.0,LEL 92253,INE - Para abate,2018-04-06,Avaria,,,ED-0312-SE-60-NE_RUI,INE RUIVÃES,-,,,,,,
280209983,51351646,280209983,1106S5072500,SENHOR ROUBADO,1995.0,12-1997,,1.0,C 12926,Em exploração,,,,,,,,,,,,,
280210737,53902672,280210737,1401S5636700,OLHO BOI,1978.0,12-1980,,2.0,16635 S,Em exploração,,,,,,,,,,,,,
280210299,53902681,280210299,1405S5680800,CARRASCAL,1979.0,12-1981,2015.0,2.0,LEL 13334,Em exploração,,,,,,,,,,,,,
280211744,54482499,280211744,0109S5010000,SÃO JOÃO DA MADEIRA,2004.0,01-2005,,1.0,C 0095 A,Em exploração,,,,,,,,,,,,,
280210078,57432731,280210078,1606S6011800,LINDOSO,2003.0,05-2004,,2.0,LEL 93128,Em exploração,,,,,,,,,,,,,
280210300,59142363,280210300,0109S5009200,RIO MEÃO,2003.0,10-2003,,2.0,LEL 94555,Em exploração,,,,,,,,,,,,,
280210302,67422781,280210302,0504S5008900,FUNDÃO,1979.0,11-1992,,2.0,LEL 14854,Em exploração,,,,,,,,,,,,,
280210738,67951274,280210738,1015S5004400,RANHA,2003.0,04-2004,,1.0,LEL 95308,Em exploração,,,,,,,,,,,,,
280190624,67970944,280190624,1512S5031200,SADO,2003.0,01-2004,,1.0,C 0039 A,Em exploração,,,,,,,,,,,,,
280228829,68876502,280228829,1512S5990600,SE MÓVEL 06,2001.0,05-2001,,1.0,LEL 86728,Em exploração,,,,,,,,,,,,,
280214117,69918181,280214117,0214S3901300,VIDIGUEIRA,1969.0,12-1970,,1.0,LEL 5311,Em exploração,,,,,,,,,,,,,
280210739,70577288,280210739,0911S5007700,SABUGAL,1980.0,05-2004,,1.0,19298 C,Em exploração,,,,,,,,,,,,,
280209969,71713612,280209969,1406S5900900,CARTAXO NORTE,2001.0,12-2002,,1.0,LEL 86727,Em exploração,,,,,,,,,,,,,
280211745,82653701,280211745,0903S5008700,CELORICO,1973.0,01-2005,,1.0,LEL 7014,Em exploração,,,,,,,,,,,,,
280211746,83427379,280211746,1106S5900100,GAGO COUTINHO,2003.0,12-2004,,1.0,LEL 93130,Em exploração,,,,,,,,,,,,,
280211747,84279916,280211747,1506S5031400,MOITA,2004.0,10-2004,,2.0,C 0078 A,Em exploração,,,,,,,,,,,,,
280211748,84279935,280211748,1510S5021200,FOGUETEIRO,2004.0,11-2004,,1.0,LEL 97199,Em exploração,,,,,,,,,,,,,
280214118,86318773,280214118,1512S5031200,SADO,2004.0,11-2004,,2.0,C 0080 A,Em exploração,,,,,,,,,,,,,
280211752,86721622,280211752,1301S5020200,CARNEIRO,2004.0,11-2004,,1.0,LEL 97207,Em exploração,,,,,,,,,,,,,
280211753,88658785,280211753,1202S5901700,ARRONCHES,2004.0,01-2005,,1.0,LEL 96456,Em exploração,,,,,,,,,,,,,
280211755,90197937,280211755,0109S5010000,SÃO JOÃO DA MADEIRA,2004.0,01-2005,,2.0,C 0095 B,Em exploração,,,,,,,,,,,,,
280211756,94706702,280211756,1416S5901800,VALE FIGUEIRA,2004.0,12-2005,,1.0,LEL 96457,Em exploração,,,,,,,,,,,,,
280215756,94900866,280215756,0303S5020700,LAMAS,2004.0,03-2005,,1.0,C 0095 C,Em exploração,,,,,,,,,,,,,
280579566,95040987,280579566,1101S5901600,CHEGANÇAS,1971.0,08-2004,,2.0,10493 C,Em exploração,,,,,,,,,,,,,
280211758,96439870,280211758,1111S5395000,MEM MARTINS,2003.0,10-2004,,2.0,LEL 97203,Em exploração,,,,,,,,,,,,,
280211759,96439877,280211759,1111S5395000,MEM MARTINS,2004.0,01-2005,,1.0,LEL 94556,Em exploração,,,,,,,,,,,,,
280215757,96456383,280215757,0303S5020700,LAMAS,2004.0,03-2005,,2.0,C 0095 E,Em exploração,,,,,,,,,,,,,
280211761,96939743,280211761,1104S5672000,CADAVAL,1989.0,12-1990,,1.0,C 11964,Em exploração,,,,,,,,,,,,,
280212386,98531622,280212386,0605S5005800,GALA,2004.0,04-2005,,1.0,C 0060 A,Em exploração,,,,,,,,,,,,,
280215758,99644344,280215758,1310S5000800,LORDELO,2004.0,04-2005,,1.0,C 0108 A,Em exploração,,,,,,,,,,,,,
280212592,99850828,280212592,1416S5901000,ALCANEDE,2004.0,05-2005,,1.0,1 LIT 00790 C,Em exploração,,,,,,,,,,,,,
280212387,100308625,280212387,1510S5021200,FOGUETEIRO,2004.0,04-2005,,2.0,LEL 97820,Em exploração,,,,,,,,,,,,,
280215755,102515402,280215755,1823S5004600,ORGENS,2004.0,10-2005,,2.0,C 0097 A,Em exploração,,,,,,,,,,,,,
280214119,104998257,280214119,0402S5005100,BRAGANÇA,2005.0,09-2005,,1.0,1 LIT 01051 AB,Em exploração,,,,,,,,,,,,,
280212589,105032836,280212589,0312S5001200,CANIÇOS,2005.0,07-2005,,1.0,C 0120 A,Em exploração,,,,,,,,,,,,,
280214120,105032844,280214120,0312S5001200,CANIÇOS,2005.0,09-2005,,2.0,C 0120 C,Em exploração,,,,,,,,,,,,,
280215873,105041042,280215873,1304S5015400,GONDOMAR,1980.0,12-2005,,2.0,LEL 14922,Em exploração,,,,,,,,,,,,,
280212738,106521759,280212738,0809S5060500,MONCHIQUE,1996.0,06-2005,,1.0,C 13371,Em exploração,,,,,,,,,,,,,
280212590,107818812,280212590,0803S5062700,ALJEZUR,1994.0,06-2005,,1.0,C 12815,Em exploração,,,,,,,,,,,,,
280212591,108940350,280212591,0808S5060200,LOULÉ,1983.0,12-1974,,2.0,19414 C,Em exploração,,,,,,,,,,,,,
280212844,111718698,280212844,1112S5901400,CABEDA,2004.0,12-2005,,2.0,1 LIT 00790 E,Em exploração,,,,,,,,,,,,,
280214121,115694481,280214121,1105S5250000,BIRRE,2004.0,12-2005,,2.0,LEL 97822,Em exploração,,,,,,,,,,,,,
280214122,115696619,280214122,1105S5250000,BIRRE,2004.0,12-2005,,1.0,LEL 97200,Em exploração,,,,,,,,,,,,,
280218033,115806001,280218033,0105S5001500,AVEIRO,2005.0,12-2005,,1.0,C 0120 D,Em exploração,,,,,,,,,,,,,
280214124,116667557,280214124,1106S5045000,SÃO CIRO,2004.0,12-2005,,1.0,LEL 97715,Em exploração,,,,,,,,,,,,,
280218042,117122774,280218042,1317S5020400,SERZEDO,2006.0,12-2006,,1.0,C 0178 B,Em exploração,,,,,,,,,,,,,
280578878,117177863,280578878,1602S5021100,ÂNCORA,2005.0,12-2006,,2.0,1 LIT 010501,Em exploração,,,,,,,,,,,,,
280226429,120388334,280226429,0312S5991400,SE MÓVEL 14,1990.0,01-1998,,1.0,C 12060,Em exploração,,,,,,,,,,,,,
280191912,120950720,280191912,1009S5002700,PINHEIROS,1979.0,12-2001,,2.0,19256 C,Em exploração,,,,,,,,,,,,,
280216341,121152458,280216341,0208S5052500,FERREIRA DO ALENTEJO,1981.0,09-2005,,1.0,19254 C,Em exploração,,,,,,,,,,,,,
280578886,121864558,280578886,0603S5006100,TAVEIRO,1995.0,11-1996,,2.0,C 13076,Em exploração,,,,,,,,,,,,,
280226430,121864882,280226430,0105S5001500,AVEIRO,2004.0,12-2004,,2.0,C 0079A,Em exploração,,,,,,,,,,,,,
280210303,124467022,280210303,1010S5011000,CASAL DA LEBRE,1982.0,12-1983,,1.0,LEL 3519,Em exploração,,,,,,,,,,,,,
280185869,125938104,280185869,1808S5009500,MORTÁGUA,1983.0,10-2008,2016.0,2.0,19411 C,Em exploração,,,,,,,,,,,,,
280187426,126329842,280187426,1307S5007700,MARCO DE CANAVESES,1981.0,11-2005,,1.0,19345 C,Em exploração,,,,,,,,,,,,,
280187472,128323892,280187472,1609S5011200,SÃO ROMÃO DE NEIVA,1979.0,11-2006,,2.0,19261 C,Em exploração,,,,,,,,,,,,,
280578899,128718689,280578899,0801S5900800,MONTECHORO,2008.0,12-2008,,1.0,C 0328 A,Em exploração,,,,,,,,,,,,,
280187459,129434489,280187459,1713S5014700,SOUTELO,1981.0,05-2006,,1.0,19367 C,Em exploração,,,,,,,,,,,,,
280226431,130566508,280226431,0106S5021300,FORNOS,2006.0,06-2007,,1.0,1 LIT 014751,Em exploração,,,,,,,,,,,,,
280610263,131386798,280610263,0209S3050600,CERRO CALVÁRIO,1976.0,01-2010,,1.0,13141 C,Em exploração,,,,,,,,,,,,,
280782752,133181821,280782752,0811S5060400,PORTO DE LAGOS,2003.0,04-2011,,1.0,LEL 94566,Em exploração,,,,,,,,,,,,,
280187441,133515100,280187441,0301S5009900,AMARES,1993.0,12-2006,,1.0,LEL 47926,Em exploração,,,,,,,,,,,,,
280187469,133515122,280187469,1609S5011200,SÃO ROMÃO DE NEIVA,1976.0,12-2006,,1.0,13152 C,Em exploração,,,,,,,,,,,,,
280613647,134437701,280613647,0609S5004700,MIRANDA DO CORVO,2009.0,03-2011,,2.0,C 0388 A,Em exploração,,,,,,,,,,,,,
280216345,134810967,280216345,1405S5680800,CARRASCAL,1979.0,12-1982,,1.0,LEL 13335,Em exploração,,,,,,,,,,,,,
280216346,134811590,280216346,1406S5192700,CRUZ DO CAMPO,1979.0,01-2006,,2.0,19272 C,Em exploração,,,,,,,,,,,,,
280192130,134951409,280192130,1706S5021200,VILA DA PONTE,1982.0,12-2006,,1.0,LEL 20089,Em exploração,,,,,,,,,,,,,
280216347,136802615,280216347,1112S5901400,CABEDA,2004.0,03-2004,,1.0,1 LIT 00790 D,Em exploração,,,,,,,,,,,,,
280187523,137461067,280187523,1418S5003600,VENDA NOVA (Tomar),1974.0,03-2006,,3.0,LEL 8191,Em exploração,,,,,,,,,,,,,
280784556,137544630,280784556,0603S5022800,ANTANHOL,2011.0,07-2011,,2.0,1 LIT 75448102,Em exploração,,,,,,,,,,,,,
280626357,138742507,280626357,1805S5011300,LAMEGO,2009.0,02-2010,,1.0,LEL 108502,Em exploração,,,,,,,,,,,,,
280216348,139353243,280216348,1111S5900300,RANHOLAS,2002.0,12-2004,,1.0,LEL 96458,Em exploração,,,,,,,,,,,,,
280216349,139356550,280216349,1107S5221400,LOURES,2005.0,12-1995,,2.0,LEL 99777,Em exploração,,,,,,,,,,,,,
280216350,139357145,280216350,1107S5221400,LOURES,2005.0,10-2006,,1.0,LEL 99778,Em exploração,,,,,,,,,,,,,
280216351,139932440,280216351,1110S5117100,FIGUEIRINHA,2004.0,12-2005,,1.0,LEL 97656,Em exploração,,,,,,,,,,,,,
280216352,139932860,280216352,1110S5117100,FIGUEIRINHA,2004.0,12-2007,,2.0,LEL 97657,Em exploração,,,,,,,,,,,,,
280228814,145362615,280228814,0211S5053600,SÃO TEOTÓNIO,2005.0,12-2005,,2.0,1 LIT 011601,Em exploração,,,,,,,,,,,,,
280182286,161938725,280182286,1106S5140000,VALE ESCURO,1983.0,05-2006,,1.0,LEL 21689,Em exploração,,,,,,,,,,,,,
280792440,170782063,280792440,1714S5022900,JORJAIS,2011.0,09-2011,,2.0,C 0532 A,Em exploração,,,,,,,,,,,,,
280217228,171669912,280217228,0110S5004000,GAFANHA,2005.0,12-2006,,2.0,C 0111 B,Em exploração,,,,,,,,,,,,,
280217230,171670124,280217230,0113S5008000,OLIVEIRA DE AZEMÉIS,2005.0,07-2005,,1.0,C 0120 B,Em exploração,,,,,,,,,,,,,
280217231,171671515,280217231,0113S5008000,OLIVEIRA DE AZEMÉIS,2005.0,04-2006,,2.0,C 0120 E,Em exploração,,,,,,,,,,,,,
280187497,172198373,280187497,0603S5005100,ALEGRIA,1995.0,07-2011,,1.0,LEL 54620,Em exploração,,,,,,,,,,,,,
280192321,174002114,280192321,1107S5901900,FANHÕES,1983.0,06-2006,,2.0,LEL 21691,Em exploração,,,,,,,,,,,,,
280217232,174002142,280217232,1107S5901900,FANHÕES,1983.0,06-2006,,1.0,LEL 21692,Em exploração,,,,,,,,,,,,,
280192237,174302288,280192237,1111S5377000,QUELUZ,1973.0,12-1974,,2.0,13036 C,Em exploração,,,,,,,,,,,,,
280578935,174364659,280578935,0115S5000800,ARADA,2005.0,12-2006,,2.0,C 0120 F,Em exploração,,,,,,,,,,,,,
280210304,175871651,280210304,0704S5041600,ESTREMOZ,1968.0,12-1970,,2.0,LEL 3725,Em exploração,,,,,,,,,,,,,
280217233,179210107,280217233,1112S5901400,CABEDA,1960.0,12-1990,,3.0,4038,INE - Para abate,2019-01-01,Avaria,,,ED-0312-SE-60-NE_RUI,INE RUIVÃES,-,,,,,,
280217234,179213491,280217234,0807S5063100,LAGOS,2005.0,12-2006,,1.0,LEL 101150,Em exploração,,,,,,,,,,,,,
280578978,179429030,280578978,1416S5902600,SÃO BENTO,2003.0,02-2009,,2.0,C 0040 A,Em exploração,,,,,,,,,,,,,
280181527,181619187,280181527,1115S5480500,REBOLEIRA,1989.0,02-2009,,1.0,LEL 32620,Em exploração,,,,,,,,,,,,,
280611491,182874774,280611491,1508S5902400,PINHAL NOVO,2005.0,09-2006,,1.0,LEL 98667,Em exploração,,,,,,,,,,,,,
280579075,185486860,280579075,1207S5767100,ALCÁÇOVA,1984.0,12-1985,,1.0,LEL 25241,Em exploração,,,,,,,,,,,,,
280228815,186164148,280228815,0615S5010500,SOURE,2006.0,12-2008,,1.0,1 LIT 031381,Em exploração,,,,,,,,,,,,,
280215880,186863816,280215880,1609S5001100,SANTA MARTA DE PORTUZELO,2005.0,11-2005,,1.0,C 0121 B,Em exploração,,,,,,,,,,,,,
280651888,189604738,280651888,1105S5903300,CASCAIS,2009.0,12-2010,,1.0,LEL 107963,Em exploração,,,,,,,,,,,,,
280187460,193268804,280187460,0407S5014900,MIRANDELA,1981.0,12-1983,,2.0,19366 C,Em exploração,,,,,,,,,,,,,
280192328,194595885,280192328,0813S5061900,SÃO BARTOLOMEU MESSINES,2000.0,12-2001,,1.0,LEL 80617,Em exploração,,,,,,,,,,,,,
280191680,194596021,280191680,0706S5041300,MONTEMOR,1995.0,11-1996,,2.0,LEL 53513,Em exploração,,,,,,,,,,,,,
280217542,196183655,280217542,1315S5021000,PALMILHEIRA,2005.0,11-2006,,1.0,C 0121 C,Em exploração,,,,,,,,,,,,,
280182300,196673801,280182300,1111S5749400,JANAS,1967.0,12-2005,,2.0,7672 S,Em exploração,,,,,,,,,,,,,
280182301,204276163,280182301,1111S5749400,JANAS,1968.0,12-2004,,1.0,7675 S,Em exploração,,,,,,,,,,,,,
280185909,208031934,280185909,1824S5009400,VOUZELA,1975.0,12-2006,,1.0,13104 C,Em exploração,,,,,,,,,,,,,
280185907,208032048,280185907,1823S5009300,GUMIEI,1981.0,12-2006,,2.0,19335 C,Em exploração,,,,,,,,,,,,,
280218036,208032065,280218036,1821S5009100,TONDELA,2006.0,12-2006,,1.0,C 0178 C,Em exploração,,,,,,,,,,,,,
280218038,208456386,280218038,1111S5221600,CACÉM,2006.0,09-2007,,1.0,LEL 102025,Em exploração,,,,,,,,,,,,,
280228830,208796908,280228830,1106S5025800,CENTRAL TEJO,2006.0,06-2006,,2.0,LEL 102023,Em exploração,,,,,,,,,,,,,
280228831,208797480,280228831,1106S5025800,CENTRAL TEJO,2006.0,12-2006,,1.0,LEL 102028,Em exploração,,,,,,,,,,,,,
280210074,208797770,280210074,1109S5727400,TELHEIRO,1967.0,12-1967,,1.0,7653 S,Em exploração,,,,,,,,,,,,,
280218039,210859929,280218039,1503S5021500,MUTELA,1989.0,12-1998,,2.0,C 11962,Em exploração,,,,,,,,,,,,,
280218040,210860791,280218040,1503S5021500,MUTELA,1989.0,12-1998,2017.0,1.0,C 11963,Em exploração,,,,,,,,,,,,,
280181363,213459675,280181363,0102S5010600,VISTA ALEGRE,1979.0,08-2006,,1.0,19259 C,Em exploração,,,,,,,,,,,,,
280187481,213460166,280187481,0102S5010600,VISTA ALEGRE,1979.0,02-2007,,2.0,19264 C,Em exploração,,,,,,,,,,,,,
280579199,215147311,280579199,1010S5011000,CASAL DA LEBRE,2008.0,12-2008,,2.0,C 0304 A,Em exploração,,,,,,,,,,,,,
280579200,215162163,280579200,0603S5006400,CORRENTE,2007.0,06-2008,,2.0,C 0245 A,Em exploração,,,,,,,,,,,,,
280579213,216278061,280579213,0110S5007800,ÍLHAVO,2008.0,12-2008,,2.0,C 0315 A,Em exploração,,,,,,,,,,,,,
280218492,216832233,280218492,1106S5275000,AEROPORTO,2006.0,11-2008,,1.0,LEL 98665,Em exploração,,,,,,,,,,,,,
280611301,219637195,280611301,1106S5200300,ALAMEDA,2005.0,12-2006,,1.0,LEL 99411,Em exploração,,,,,,,,,,,,,
280611302,219637990,280611302,1113S5901500,BOMBARDEIRA,1967.0,12-2007,,1.0,7619 C,Em exploração,,,,,,,,,,,,,
280864415,220620018,280864415,1109S5902500,VENDA DO PINHEIRO,1973.0,10-2014,,2.0,13035 C,Em exploração,,,,,,,,,,,,,
280625037,220661880,280625037,1109S5430000,MAFRA,1974.0,12-1999,,1.0,13064 C,Em exploração,,,,,,,,,,,,,
280795269,220759742,280795269,1106S5375000,LUZ,2010.0,12-2010,,1.0,LEL 110092,Em exploração,,,,,,,,,,,,,
