Winding,Cooling System,OPS,Oil,Profit
45,25,35,1,187
45,25,35,4,-924
45,25,35,7,-1226
45,25,35,10,-689
50,5,5,1,4
50,5,5,4,-917
50,5,5,7,-127
50,5,5,10,-31
50,5,10,1,-2
50,5,10,4,73
50,5,10,7,82
50,5,10,10,-1492
50,5,15,1,89
50,5,15,4,117
50,5,15,7,-446
50,5,15,10,-30
50,5,20,1,27
50,5,20,4,-448
50,5,20,7,-1234
50,5,20,10,-1152
50,5,25,1,128
50,5,25,4,94
50,5,25,7,104
50,5,25,10,-539
50,5,30,1,128
50,5,30,4,94
50,5,30,7,104
50,5,30,10,-539
50,5,35,1,128
50,5,35,4,94
50,5,35,7,104
50,5,35,10,-539
50,10,5,1,-226
50,10,5,4,-3306
50,10,5,7,3
50,10,5,10,-2441
50,10,10,1,36
50,10,10,4,101
50,10,10,7,-74
50,10,10,10,-456
50,10,15,1,73
50,10,15,4,-774
50,10,15,7,-334
50,10,15,10,-1786
50,10,20,1,54
50,10,20,4,60
50,10,20,7,177
50,10,20,10,-2915
50,10,25,1,153
50,10,25,4,178
50,10,25,7,-1528
50,10,25,10,-1259
50,10,30,1,153
50,10,30,4,178
50,10,30,7,-1528
50,10,30,10,-1259
50,10,35,1,153
50,10,35,4,178
50,10,35,7,-1528
50,10,35,10,-1259
50,15,5,1,-25
50,15,5,4,35
50,15,5,7,-161
50,15,5,10,-624
50,15,10,1,-1
50,15,10,4,57
50,15,10,7,67
50,15,10,10,-1246
50,15,15,1,133
50,15,15,4,-650
50,15,15,7,-1669
50,15,15,10,-1658
50,15,20,1,94
50,15,20,4,143
50,15,20,7,-4800
50,15,20,10,-6058
50,15,25,1,106
50,15,25,4,181
50,15,25,7,-1211
50,15,25,10,-1979
50,15,30,1,106
50,15,30,4,181
50,15,30,7,-1211
50,15,30,10,-1979
50,15,35,1,106
50,15,35,4,181
50,15,35,7,-1211
50,15,35,10,-1979
50,20,5,1,-11
50,20,5,4,-61
50,20,5,7,0
50,20,5,10,-18
50,20,10,1,58
50,20,10,4,85
50,20,10,7,-1834
50,20,10,10,-158
50,20,15,1,86
50,20,15,4,-886
50,20,15,7,-1279
50,20,15,10,28
50,20,20,1,106
50,20,20,4,99
50,20,20,7,-4707
50,20,20,10,-1362
50,20,25,1,107
50,20,25,4,185
50,20,25,7,-641
50,20,25,10,135
50,20,30,1,107
50,20,30,4,185
50,20,30,7,-641
50,20,30,10,135
50,20,35,1,107
50,20,35,4,185
50,20,35,7,-641
50,20,35,10,135
50,25,5,1,9
50,25,5,4,-201
50,25,5,7,-25
50,25,5,10,-1165
50,25,10,1,14
50,25,10,4,123
50,25,10,7,-2604
50,25,10,10,-1548
50,25,15,1,59
50,25,15,4,-437
50,25,15,7,-523
50,25,15,10,75
50,25,20,1,100
50,25,20,4,-684
50,25,20,7,-1131
50,25,20,10,90
50,25,25,1,187
50,25,25,4,-924
50,25,25,7,-1226
50,25,25,10,-689
50,25,30,1,187
50,25,30,4,-924
50,25,30,7,-1226
50,25,30,10,-689
50,25,35,1,187
50,25,35,4,-924
50,25,35,7,-1226
50,25,35,10,-689
