d_prime,load_effect,Profit
0.9556,5.0480,22.1652
0.9364,5.1035,11.7254
0.9343,5.0833,11.0113
0.9576,5.0328,23.7983
0.9980,5.0682,94.6146
0.9970,5.0884,90.9506
0.9697,5.1086,35.2409
0.9758,4.9874,39.9919
0.9485,4.9874,17.3506
0.9566,4.8864,22.9672
0.9848,4.8207,59.7881
0.9798,4.9015,-18.9002
0.9333,4.9621,10.6720
0.9828,5.0076,16.4574
0.9354,4.9924,11.3610
0.9808,4.8106,46.7256
0.9222,4.8308,7.6300
0.9657,4.9520,31.9361
0.9848,5.0328,59.9068
0.9253,4.9167,8.3508
0.9727,5.1338,37.5106
0.9212,5.0682,7.4059
0.9505,4.9369,18.5791
0.9384,4.8207,12.4912
0.9960,4.9823,104.3656
load_effect,max_cooling_system_cooling,Profit
0.9485,10.1465,141.4841
0.9525,9.7727,130.0832
0.9283,9.5808,138.9988
0.9182,9.5101,125.5198
0.9131,10.0859,137.0695
0.9101,9.8333,140.3546
0.9879,9.6818,126.1765
0.9869,10.1162,127.5480
0.9485,10.0253,127.4555
0.9929,9.6313,125.7833
0.9707,9.9848,137.5045
0.9182,10.1566,127.8629
0.9253,9.6515,126.1580
0.9071,9.7121,126.5024
0.9000,9.8636,126.9517
0.9566,9.8636,137.0624
0.9879,9.8333,141.1957
0.9798,10.0657,127.3781
0.9071,9.5909,125.9860
0.9586,10.1667,142.1529
0.9949,9.8737,126.5631
0.9758,9.9545,126.9774
0.9232,9.9040,127.0477
0.9273,9.5101,125.4217
0.9000,9.7323,132.4703
0.9061,9.7929,126.8067
0.9869,10.0253,127.2198
0.9313,9.9444,127.2726
0.9051,9.6717,126.3525
0.9990,9.6515,125.8216
0.9020,10.0960,127.6747
0.9273,9.9848,127.4411
0.9677,9.7020,126.1303
0.9838,9.9040,143.9584
0.9717,9.7626,138.6140
0.9838,9.8030,126.3881
0.9485,9.6313,125.7634
0.9323,10.1162,127.6879
0.9121,9.9545,143.2119
0.9313,10.1667,137.4165
0.9990,9.9141,131.5925
0.9960,9.9646,127.1355
0.9434,10.0556,127.6107
0.9758,9.7222,126.1533
0.9778,10.0960,127.4628
0.9657,9.6212,125.7401
0.9253,10.0354,137.7708
0.9313,9.7525,126.4418
0.9071,9.9343,126.8025
0.9000,9.9141,127.0721
1.0000,10.0253,137.6901
0.9687,10.1465,127.7140
0.9162,10.0152,127.4454
0.9788,10.1566,127.7781
