
chi [*,*] (tr)
:  Cooling_System OPS Oil Winding    :=
0         0         0   0     0
1         0         0   0     0
2         0         0   0     0
3         0         0   0     0
4         0         0   0     0
5         0         0   0     0
6         0         0   0     0
7         0         0   0     0
8         0         0   0     0
9         0         0   0     0
10        0         1   1     0
11        0         0   0     0
12        0         0   0     0
13        0         0   0     0
14        0         0   0     0
15        0         0   0     0
16        0         0   0     0
17        0         0   0     0
18        0         0   0     0
19        0         0   0     0
20        0         0   0     0
21        0         0   0     0
22        0         0   0     0
23        0         0   0     0
24        0         0   0     0
25        0         0   0     0
26        0         0   0     0
27        0         0   0     0
28        1         0   0     0
29        0         1   1     0
30        0         0   0     0
31        0         0   0     0
32        0         0   0     0
33        0         0   0     0
34        0         0   0     0
35        0         0   0     0
36        0         0   0     0
37        0         0   0     0
38        0         0   0     0
39        0         0   1     0
40        0         0   0     0
41        0         0   0     0
42        0         0   0     0
43        0         0   0     0
44        0         0   0     0
45        0         0   0     0
46        0         0   0     0
47        0         0   0     0
48        0         0   0     0
49        0         0   0     0
50        0         0   0     0
;

q [*] :=
 117 0.13447      417 0.105921     717 0.374878    1017 0.117786
 118 0.134324     418 0.105806     718 0.374878    1018 0.117658
 119 0.134179     419 0.105691     719 0.374878    1019 0.117531
 120 0.134033     420 0.105577     720 0.149713    1020 0.117403
 121 0.133888     421 0.105462     721 0.14955     1021 0.117276
 122 0.133742     422 0.105348     722 0.149388    1022 0.117148
 123 0.133597     423 0.105233     723 0.149226    1023 0.117021
 124 0.133452     424 0.105119     724 0.149064    1024 0.116894
 125 0.133308     425 0.105005     725 0.148903    1025 0.116768
 126 0.133163     426 0.104891     726 0.148741    1026 0.116641
 127 0.133019     427 0.104777     727 0.14858     1027 0.116514
 128 0.132874     428 0.104664     728 0.148418    1028 0.116388
 129 0.13273      429 0.10455      729 0.148257    1029 0.116262
 130 0.132586     430 0.104437     730 0.148097    1030 0.116136
 131 0.132442     431 0.104323     731 0.147936    1031 0.11601
 132 0.132298     432 0.10421      732 0.147775    1032 0.115884
 133 0.132155     433 0.104097     733 0.147615    1033 0.115758
 134 0.132012     434 0.103984     734 0.147455    1034 0.115632
 135 0.131868     435 0.103871     735 0.147295    1035 0.115507
 136 0.131725     436 0.103759     736 0.147135    1036 0.115382
 137 0.131582     437 0.103646     737 0.146975    1037 0.115256
 138 0.13144      438 0.103534     738 0.347285    1038 0.115131
 139 0.131297     439 0.103421     739 0.347285    1039 0.115006
 140 0.131155     440 0.103309     740 0.347285    1040 0.114882
 141 0.131012     441 0.103197     741 0.347285    1041 0.114757
 142 0.13087      442 0.103085     742 0.347285    1042 0.114633
 143 0.130728     443 0.102973     743 0.347285    1043 0.114508
 144 0.130586     444 0.102862     744 0.347285    1044 0.114384
 145 0.130445     445 0.10275      745 0.282013    1045 0.11426
 146 0.130303     446 0.102638     746 0.282013    1046 0.114136
 147 0.130162     447 0.102527     747 0.282013    1047 0.114012
 148 0.130021     448 0.102416     748 0.282013    1048 0.113888
 149 0.129879     449 0.102305     749 0.282013    1049 0.113765
 150 0.129739     450 0.102194     750 0.282013    1050 0.113641
 151 0.129598     451 0.102083     751 0.282013    1051 0.113518
 152 0.129457     452 0.101972     752 0.282013    1052 0.113395
 153 0.129317     453 0.101862     753 0.282013    1053 0.113272
 154 0.129176     454 0.101751     754 0.282013    1054 0.113149
 155 0.129036     455 0.101641     755 0.282013    1055 0.113026
 156 0.128896     456 0.10153      756 0.282013    1056 0.112904
 157 0.128756     457 0.10142      757 0.282013    1057 0.112781
 158 0.128617     458 0.10131      758 0.282013    1058 0.112659
 159 0.128477     459 0.1012       759 0.282013    1059 0.112536
 160 0.128338     460 0.10109      760 0.282013    1060 0.112414
 161 0.128199     461 0.100981     761 0.282013    1061 0.112292
 162 0.128059     462 0.100871     762 0.282013    1062 0.112171
 163 0.127921     463 0.100762     763 0.282013    1063 0.112049
 164 0.127782     464 0.100652     764 0.282013    1064 0.111927
 165 0.127643     465 0.100543     765 0.282013    1065 0.111806
 166 0.127505     466 0.100434     766 0.282013    1066 0.111685
 167 0.127366     467 0.100325     767 0.282013    1067 0.111563
 168 0.127228     468 0.100216     768 0.282013    1068 0.111442
 169 0.12709      469 0.100108     769 0.236258    1069 0.111321
 170 0.126952     470 0.099999     770 0.236258    1070 0.111201
 171 0.126814     471 0.0998905    771 0.236258    1071 0.11108
 172 0.126677     472 0.0997821    772 0.236258    1072 0.11096
 173 0.126539     473 0.0996739    773 0.236258    1073 0.120554
 174 0.126402     474 0.0995657    774 0.236258    1074 0.120554
 175 0.126265     475 0.0994577    775 0.236258    1075 0.120554
 176 0.126128     476 0.0993498    776 0.236258    1076 0.120554
 177 0.125991     477 0.099242     777 0.236258    1077 0.120554
 178 0.125854     478 0.0991343    778 0.236258    1078 0.120554
 179 0.125718     479 0.0990268    779 0.236258    1079 0.120554
 180 0.125582     480 0.0989193    780 0.236258    1080 0.120554
 181 0.125445     481 0.098812     781 0.236258    1081 0.11292
 182 0.125309     482 0.0987048    782 0.236258    1082 0.11292
 183 0.125173     483 0.0985977    783 0.236258    1083 0.11292
 184 0.125037     484 0.0984908    784 0.236258    1084 0.11292
 185 0.124902     485 0.0983839    785 0.236258    1085 0.11292
 186 0.124766     486 0.0982772    786 0.236258    1086 0.11292
 187 0.124631     487 0.0981705    787 0.236258    1087 0.11292
 188 0.124496     488 0.098064     788 0.236258    1088 0.11292
 189 0.124361     489 0.0979576    789 0.236258    1089 0.11292
 190 0.124226     490 0.0978514    790 0.236258    1090 0.11292
 191 0.124091     491 0.0977452    791 0.236258    1091 0.11292
 192 0.123956     492 0.0976392    792 0.236258    1092 0.11292
 193 0.123822     493 0.0975332    793 0.203866    1093 0.11292
 194 0.123687     494 0.0974274    794 0.203866    1094 0.11292
 195 0.123553     495 0.0973217    795 0.203866    1095 0.11292
 196 0.123419     496 0.0972161    796 0.203866    1096 0.11292
 197 0.123285     497 0.0971106    797 0.203866    1097 0.11292
 198 0.123152     498 0.0970053    798 0.203866    1098 0.11292
 199 0.123018     499 0.0969       799 0.203866    1099 0.11292
 200 0.122884     500 0.0967949    800 0.203866    1100 0.11292
 201 0.122751     501 0.0966899    801 0.203866    1101 0.11292
 202 0.122618     502 0.096585     802 0.203866    1102 0.11292
 203 0.122485     503 0.0964802    803 0.203866    1103 0.11292
 204 0.122352     504 0.0963755    804 0.203866    1104 0.11292
 205 0.122219     505 0.096271     805 0.203866    1105 0.108341
 206 0.122087     506 0.0961665    806 0.203866    1106 0.108341
 207 0.121954     507 0.0960622    807 0.203866    1107 0.108341
 208 0.121822     508 0.095958     808 0.203866    1108 0.108341
 209 0.12169      509 0.0958539    809 0.203866    1109 0.108341
 210 0.121558     510 0.0957499    810 0.203866    1110 0.108341
 211 0.121426     511 0.095646     811 0.203866    1111 0.108341
 212 0.121294     512 0.0955422    812 0.203866    1112 0.108341
 213 0.121163     513 0.0954386    813 0.203866    1113 0.108341
 214 0.121031     514 0.095335     814 0.203866    1114 0.108341
 215 0.1209       515 0.0952316    815 0.203866    1115 0.108341
 216 0.120769     516 0.0951283    816 0.203866    1116 0.108341
 217 0.120638     517 0.095025     817 0.180634    1117 0.108341
 218 0.120507     518 0.0949219    818 0.180634    1118 0.108341
 219 0.120376     519 0.094819     819 0.180634    1119 0.108341
 220 0.120245     520 0.0947161    820 0.180634    1120 0.108341
 221 0.120115     521 0.0946133    821 0.180634    1121 0.108341
 222 0.119985     522 0.0945107    822 0.180634    1122 0.108341
 223 0.119854     523 0.0944081    823 0.180634    1123 0.108341
 224 0.119724     524 0.0943057    824 0.180634    1124 0.108341
 225 0.119594     525 0.0942034    825 0.180634    1125 0.108341
 226 0.119465     526 0.0941012    826 0.180634    1126 0.108341
 227 0.119335     527 0.0939991    827 0.180634    1127 0.108341
 228 0.119206     528 0.0938971    828 0.180634    1128 0.108341
 229 0.119076     529 0.0937952    829 0.180634    1129 0.104933
 230 0.118947     530 0.0936935    830 0.180634    1130 0.104933
 231 0.118818     531 0.0939978    831 0.180634    1131 0.104933
 232 0.118689     532 0.0934902    832 0.180634    1132 0.104933
 233 0.11856      533 0.639594     833 0.180634    1133 0.104933
 234 0.118432     534 0.7          834 0.180634    1134 0.104933
 235 0.118303     535 0.83         835 0.180634    1135 0.104933
 236 0.118175     536 0.908847     836 0.180634    1136 0.104933
 237 0.118047     537 0.908576     837 0.180634    1137 0.104933
 238 0.117919     538 0.908305     838 0.180634    1138 0.104933
 239 0.117791     539 0.908035     839 0.180634    1139 0.104933
 240 0.944984     540 0.907764     840 0.180634    1140 0.104933
 241 0.83         541 0.907495     841 0.163687    1141 0.104933
 242 0.75         542 0.907225     842 0.163687    1142 0.104933
 243 0.64         543 0.906956     843 0.163687    1143 0.104933
 244 0.7          544 0.906687     844 0.163687    1144 0.104933
 245 0.64         545 0.906418     845 0.163687    1145 0.104933
 246 0.7          546 0.90615      846 0.163687    1146 0.104933
 247 0.83         547 0.905882     847 0.163687    1147 0.104933
 248 0.943854     548 0.905614     848 0.163687    1148 0.104933
 249 0.943697     549 0.905346     849 0.163687    1149 0.104933
 250 0.943541     550 0.905079     850 0.163687    1150 0.104933
 251 0.943384     551 0.904812     851 0.163687    1151 0.104933
 252 0.943228     552 0.904546     852 0.163687    1152 0.104933
 253 0.943072     553 0.83         853 0.163687    1153 0.102
 254 0.942916     554 0.75         854 0.163687    1154 0.102
 255 0.94276      555 0.64         855 0.163687    1155 0.102
 256 0.942605     556 0.7          856 0.163687    1156 0.102
 257 0.942449     557 0.64         857 0.163687    1157 0.102
 258 0.942294     558 0.7          858 0.163687    1158 0.102
 259 0.942139     559 0.83         859 0.163687    1159 0.102
 260 0.941984     560 0.90268      860 0.163687    1160 0.102
 261 0.94183      561 0.902416     861 0.163687    1161 0.102
 262 0.941675     562 0.902152     862 0.163687    1162 0.102
 263 0.941521     563 0.901888     863 0.163687    1163 0.102
 264 0.125058     564 0.901624     864 0.163687    1164 0.102
 265 0.124923     565 0.901361     865 0.151061    1165 0.102
 266 0.124787     566 0.901098     866 0.151061    1166 0.102
 267 0.124652     567 0.900836     867 0.151061    1167 0.102
 268 0.124516     568 0.900573     868 0.151061    1168 0.102
 269 0.124381     569 0.900311     869 0.151061    1169 0.102
 270 0.124246     570 0.90005      870 0.151061    1170 0.102
 271 0.124112     571 0.899788     871 0.151061    1171 0.102
 272 0.123977     572 0.899527     872 0.151061    1172 0.102
 273 0.123842     573 0.899266     873 0.151061    1173 0.102
 274 0.123708     574 0.899006     874 0.151061    1174 0.102
 275 0.123574     575 0.898745     875 0.151061    1175 0.102
 276 0.12344      576 0.898485     876 0.151061    1176 0.102
 277 0.123306     577 0.665382     877 0.151061    1177 0.0992863
 278 0.123172     578 0.665382     878 0.151061    1178 0.0992861
 279 0.123038     579 0.64         879 0.151061    1179 0.0992863
 280 0.122905     580 0.665382     880 0.151061    1180 0.0992863
 281 0.122772     581 0.64         881 0.151061    1181 0.0992863
 282 0.122638     582 0.665382     882 0.151061    1182 0.0992863
 283 0.122505     583 0.665382     883 0.151061    1183 0.0992863
 284 0.122372     584 0.665382     884 0.151061    1184 0.0992863
 285 0.12224      585 0.665382     885 0.151061    1185 0.0992863
 286 0.122107     586 0.665382     886 0.151061    1186 0.0992865
 287 0.121975     587 0.665382     887 0.151061    1187 0.0992863
 288 0.121842     588 0.665382     888 0.151061    1188 0.0992863
 289 0.12171      589 0.665382     889 0.141416    1189 0.0992863
 290 0.121578     590 0.665382     890 0.141416    1190 0.0992863
 291 0.121446     591 0.665382     891 0.141416    1191 0.0992863
 292 0.121314     592 0.665382     892 0.141416    1192 0.0992863
 293 0.121183     593 0.665382     893 0.141416    1193 0.0992863
 294 0.121051     594 0.665382     894 0.141416    1194 0.0992863
 295 0.12092      595 0.665382     895 0.141416    1195 0.0992863
 296 0.120789     596 0.665382     896 0.141416    1196 0.0992863
 297 0.120658     597 0.665382     897 0.141416    1197 0.0992863
 298 0.120527     598 0.665382     898 0.141416    1198 0.0992863
 299 0.120396     599 0.665382     899 0.141416    1199 0.0992863
 300 0.120265     600 0.665382     900 0.141416    1200 0.0992863
;

