Nodes Current_Node  Objective_Bounds Work  Incumbent BestBd   Gap  Depth Time         
 17080 13998 1436.47546  540 1133          - 5024.00000      -   285  999s
 17925 13745 1830.05960  574 1142          - 5024.00000      -   279 1022s
 17954 13870 1789.26643  575 1142          - 5024.00000      -   281 1040s
 18088 14015 1338.57849  579  985          - 5024.00000      -   286 1059s
 18326 14194 1048.40792  638  889          - 5024.00000      -   294 1075s
 18630 14485 1040.71399  738  787          - 5024.00000      -   295 1094s
 19123 14605  993.13704  863  668          - 5024.00000      -   298 1112s
 19471 14924  981.31847  988  543          - 5024.00000      -   299 1140s
 19908 15168  618.28436 1113  413          - 5024.00000      -   302 1164s
 20298 15631  614.96653 1238  287          - 5024.00000      -   304 1190s
 20891 15965  512.98685 1363  159          - 5024.00000      -   308 1220s
 21478 16005  276.84329 1488   31          - 5024.00000      -   313 1244s
*21610 15648            1554     275.3869270 5024.00000  1724%   311 1244s
*21611 15351            1555     275.6263585 5024.00000  1723%   311 1244s
 21890 15223 4737.27800   54 2071  275.62636 5024.00000  1723%   317 1326s
H21893 14934                     276.0534613 5024.00000  1720%   317 1326s
 21896 15123 4699.09516   55 2069  276.05346 5024.00000  1720%   317 1351s
 22086 15590 4348.01366   82 1986  276.05346 5024.00000  1720%   320 1374s
H22100 15499                     276.8620715 5024.00000  1715%   320 1374s
 22795 16183 3704.73402  128 1921  276.86207 5024.00000  1715%   316 1419s
 23517 16828 3683.74993  129 1930  276.86207 5024.00000  1715%   311 1445s
H24101 16815                     290.8801260 5024.00000  1627%   307 1445s
H24244 17349                     290.8801261 5024.00000  1627%   308 1507s
H24745 17349                     291.0854179 5024.00000  1626%   302 1507s
H24758 17349                     291.2893497 5024.00000  1625%   302 1507s
H25202 16952                     321.3840895 5024.00000  1463%   297 1507s
 25246 17076 2123.70261  209 1541  321.38409 5024.00000  1463%   297 1590s
H25369 17076                     321.5482554 5024.00000  1462%   298 1590s
 25539 17480 4240.73710   93 2052  321.54826 5024.00000  1462%   300 1619s
 26252 17994 4541.87990   86 2043  321.54826 5024.00000  1462%   300 1649s
H27289 17956                     330.0717288 5024.00000  1422%   296 1870s
H27290 17709                     393.5211856 5024.00000  1177%   296 1870s
H27543 17709                     394.1324414 5024.00000  1175%   293 1870s
 27544 18227 3807.38275  183 1975  394.13244 5024.00000  1175%   293 1899s
 28088 18708 2933.42180  275 1743  394.13244 5024.00000  1175%   297 1926s
 28621 19362 2577.45005  325 1690  394.13244 5024.00000  1175%   303 1961s
 29373 20189  645.20708  434 1386  394.13244 5024.00000  1175%   309 1994s
 30222 21350  565.57267  683 1138  394.13244 5024.00000  1175%   311 2022s
 31401 21794  558.38868  933  890  394.13244 5024.00000  1175%   305 2051s
 31847 22254  493.15424 1182  620  394.13244 5024.00000  1175%   303 2073s
 32324 23603  483.01639 1432  370  394.13244 5024.00000  1175%   301 2099s
 33673 24934  470.55653 1682  122  394.13244 5024.00000  1175%   292 2121s
 35004 26101  434.86758 1768   38  394.13244 5024.00000  1175%   283 2148s
 36189 27175  430.00511 1771   37  394.13244 5024.00000  1175%   275 2168s
 37317 27657 4555.99207   56 1911  394.13244 5024.00000  1175%   270 2184s
 37873 28608 3968.16060  123 1754  394.13244 5024.00000  1175%   268 2202s
 38840 29370 4841.01509   54 2063  394.13244 5024.00000  1175%   265 2223s
 39624 29713 4168.56254  106 1834  394.13244 5024.00000  1175%   263 2241s
 40041 29818 infeasible  177       394.13244 5024.00000  1175%   266 2303s
 40156 29842 4648.22836   83 2000  394.13244 5024.00000  1175%   269 2315s
 40180 30175 4636.69240   87 1984  394.13244 5024.00000  1175%   269 2344s
 40557 30232 infeasible  178       394.13244 5024.00000  1175%   273 2420s
 40624 30584 4621.31496   65 1965  394.13244 5024.00000  1175%   275 2441s
 40980 30749 infeasible  147       394.13244 5024.00000  1175%   278 2455s
 41155 31428 3301.33733  144 1795  394.13244 5024.00000  1175%   278 2480s
 41860 32238 4867.75434   56 2066  394.13244 5024.00000  1175%   277 2497s
 42678 32903 4628.30980  100 1938  394.13244 5024.00000  1175%   275 2516s
 43447 33283 4277.94042  125 1854  394.13244 5024.00000  1175%   273 2533s
 43849 33537 4035.12210  146 1831  394.13244 5024.00000  1175%   274 2549s
 44149 33945 3909.33654  152 1830  394.13244 5024.00000  1175%   276 2571s
 44661 34349 3497.69745  191 1894  394.13244 5024.00000  1175%   278 2592s
 45093 34760 3044.63359  222 1735  394.13244 5024.00000  1175%   281 2613s
 45594 34879 infeasible  231       394.13244 5024.00000  1175%   283 2627s
 45717 35209 4151.68672   86 1805  394.13244 5024.00000  1175%   285 2646s
 46115 35411 2669.99316  163 1462  394.13244 5024.00000  1175%   287 2714s
 46368 35494 1160.82310  273 1280  394.13244 5024.00000  1175%   288 2732s
 46459 35500 1031.01806  289 1243  394.13244 5024.00000  1175%   289 2913s
H46460 32920                     437.2319432 5024.00000  1049%   289 2913s
 46465 33062 1030.69718  290 1242  437.23194 5024.00000  1049%   289 2931s
 46644 33287 1006.88674  308 1227  437.23194 5024.00000  1049%   290 2950s
 46876 33894 1004.64681  325 1210  437.23194 5024.00000  1049%   292 2975s
 47493 34509  830.43993  573  983  437.23194 5024.00000  1049%   293 2999s
 48138 34891  722.95996  822  700  437.23194 5024.00000  1049%   293 3016s
 48544 35255  558.52793 1071  463  437.23194 5024.00000  1049%   293 3050s
 48910 36067  545.73960 1321  212  437.23194 5024.00000  1049%   292 3102s
 49767 36154 4890.52018   65 2051  437.23194 5024.00000  1049%   289 3135s
 49854 37178 1922.54307  110 1150  437.23194 5024.00000  1049%   291 3156s
 50898 38127 1227.13776  136 1066  437.23194 5024.00000  1049%   286 3178s
 51924 38961  631.08178  226  697  437.23194 5024.00000  1049%   284 3198s
 52798 39529 4618.08920   85 2001  437.23194 5024.00000  1049%   283 3220s
 53452 39902 3939.52558  155 2002  437.23194 5024.00000  1049%   284 3244s
 53879 40307 3775.73786   89 1778  437.23194 5024.00000  1049%   285 3266s
 54306 40398 4858.00595   64 2159  437.23194 5024.00000  1049%   286 3282s
 54397 41205 3750.72027  107 1608  437.23194 5024.00000  1049%   287 3305s
 55232 42159 2065.69675  172 1333  437.23194 5024.00000  1049%   285 3325s
 56220 43222  930.03326  223 1085  437.23194 5024.00000  1049%   283 3346s
 57299 44281     cutoff  459       437.23194 5024.00000  1049%   279 3377s
