d_prime,load_effect,Profit
0.9970,9.7020,90.0053
0.9485,10.1162,17.3521
0.9111,9.7727,5.5110
0.9828,9.6919,47.6358
0.9697,9.7828,35.1995
0.9909,9.7323,69.9990
0.9303,9.9040,9.7258
0.9071,10.2172,4.9064
0.9273,9.9848,8.8733
0.9980,10.0455,97.8495
0.9616,10.0051,27.4943
0.9354,9.7525,11.3591
0.9727,10.1970,37.5231
0.9869,10.2172,62.2142
0.9141,9.9141,6.0182
0.9990,10.1768,138.0534
0.9444,9.8232,15.1736
0.9162,9.9646,6.3836
0.9010,10.4394,4.1243
0.9051,9.9040,4.6284
0.9384,10.0657,12.4932
0.9576,9.9242,23.7963
d_prime,max_oil_cooling,Profit
0.9997,5.2929,102.8760
0.9989,4.5455,38.8004
0.9926,4.8687,66.7130
0.9983,5.6768,70.5301
0.9914,4.3030,36.0902
1.0084,5.0303,167.2626
1.0092,5.7576,169.3814
0.9926,5.1515,28.2126
0.9963,4.3434,88.4920
0.9924,4.4242,58.7506
0.9942,5.3333,90.1257
0.9908,4.9495,25.2494
0.9965,4.5859,92.2604
1.0064,5.6566,168.6088
1.0007,5.2121,-1605.1439
0.9991,5.0909,51.3857
1.0003,4.4848,109.8041
1.0076,5.5960,167.3481
1.0031,4.8283,166.5035
1.0025,5.7980,170.9924
0.9906,4.6263,44.3695
0.9991,5.8384,114.0596
0.9906,4.2626,44.6162
1.0047,4.9899,166.5990
1.0096,4.9091,167.1071
0.9906,4.6667,35.5979
1.0043,5.2525,168.6221
1.0080,5.8586,169.0786
0.9924,5.0101,64.2815
1.0033,5.3535,168.3823
0.9904,5.0707,49.7619
1.0011,5.1313,-934.0928
1.0056,5.1919,167.9594
0.9997,5.9596,28.2373
0.9997,5.9798,95.1279
0.9999,4.0000,156.4758
0.9999,4.0202,101.1473
0.9999,4.0606,92.7814
0.9999,4.0808,156.9043
0.9999,4.1212,156.9206
0.9999,4.1414,121.4013
0.9999,4.1818,90.4323
